Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LAC2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LAC3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LENLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_LIGLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACT1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO6_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACTE2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACTE5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF12_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF14_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF16_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF5_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF8_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BURK4_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ENTER1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LCO2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_MEG1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_MEG3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_OSCL3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_STREP1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET6_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LACCAS2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LACPLAN1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PED3_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PREV2_1	1.14951865
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_ACUT4_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL6_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BIF4_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LAC1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LIQLAC2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_BAC2_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_CLOS1_1	0
AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_ATO1_1	0
