"Rel_Abundance"	"variable"	"value"
"74"	"UW_MP_ACT1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"75"	"UW_MP_ATO3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"76"	"UW_MP_ATO6_1"	"AI_AcidSludgeSampleA_PacBio"	0
"77"	"UW_MP_BACTE2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"78"	"UW_MP_BACTE5_1"	"AI_AcidSludgeSampleA_PacBio"	0
"79"	"UW_MP_BIF12_1"	"AI_AcidSludgeSampleA_PacBio"	0
"80"	"UW_MP_BIF14_1"	"AI_AcidSludgeSampleA_PacBio"	0
"81"	"UW_MP_BIF16_1"	"AI_AcidSludgeSampleA_PacBio"	0
"82"	"UW_MP_BIF5_1"	"AI_AcidSludgeSampleA_PacBio"	0
"83"	"UW_MP_BIF8_1"	"AI_AcidSludgeSampleA_PacBio"	0
"84"	"UW_MP_BURK4_1"	"AI_AcidSludgeSampleA_PacBio"	0
"85"	"UW_MP_ENTER1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"86"	"UW_MP_LCO2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"87"	"UW_MP_MEG1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"88"	"UW_MP_MEG3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"89"	"UW_MP_OSCL3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"90"	"UW_MP_STREP1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"91"	"UW_TS_ACET6_1"	"AI_AcidSludgeSampleA_PacBio"	0
"92"	"UW_TS_LACCAS2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"93"	"UW_TS_LACPLAN1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"94"	"UW_TS_PED3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"95"	"UW_TS_PREV2_1"	"AI_AcidSludgeSampleA_PacBio"	1.14951865
"96"	"UW_DM_ACUT4_1"	"AI_AcidSludgeSampleA_PacBio"	0
"97"	"UW_MP_BACIL6_1"	"AI_AcidSludgeSampleA_PacBio"	0
"98"	"UW_MP_BIF4_1"	"AI_AcidSludgeSampleA_PacBio"	0
"99"	"UW_MP_LAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"100"	"UW_MP_LIQLAC2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"101"	"UW_TS_BAC2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"102"	"UW_TS_CLOS1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"103"	"UW_DM_ATO1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"104"	"UW_DM_SCHLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"105"	"UW_MP_ACT2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"106"	"UW_MP_BURK1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"107"	"UW_MP_ENTER2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"108"	"UW_MP_PREV4_1"	"AI_AcidSludgeSampleA_PacBio"	0
"109"	"UW_TS_LAC6_1"	"AI_AcidSludgeSampleA_PacBio"	0
"110"	"MS_COR2_2018_genome"	"AI_AcidSludgeSampleA_PacBio"	0
"111"	"MS_COR3_2018_genome"	"AI_AcidSludgeSampleA_PacBio"	0
"112"	"MS_LAC4_2018_genome"	"AI_AcidSludgeSampleA_PacBio"	0
"113"	"UW_DM_ACUT1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"114"	"UW_DM_ACUT3_1"	"AI_AcidSludgeSampleA_PacBio"	0
"115"	"UW_MP_BACIL8_1"	"AI_AcidSludgeSampleA_PacBio"	0
"116"	"UW_MP_BIF11_1"	"AI_AcidSludgeSampleA_PacBio"	0
"117"	"UW_MP_BIF18_1"	"AI_AcidSludgeSampleA_PacBio"	0
"118"	"UW_MP_BIF19_1"	"AI_AcidSludgeSampleA_PacBio"	0
"119"	"UW_MP_BIF7_1"	"AI_AcidSludgeSampleA_PacBio"	0
"120"	"UW_MP_BIF9_1"	"AI_AcidSludgeSampleA_PacBio"	0
"121"	"UW_MP_BUL1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"122"	"UW_MP_BUL2_1"	"AI_AcidSludgeSampleA_PacBio"	0
"123"	"UW_MP_ENTER4_1"	"AI_AcidSludgeSampleA_PacBio"	0
"124"	"UW_MP_PREV8_1"	"AI_AcidSludgeSampleA_PacBio"	0
"125"	"UW_MP_SCHLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"126"	"UW_MP_SPOR1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"127"	"UW_TS_ACET5_1"	"AI_AcidSludgeSampleA_PacBio"	0
"128"	"UW_TS_BAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"129"	"UW_TS_LAC5_1"	"AI_AcidSludgeSampleA_PacBio"	0
"130"	"UW_TS_LEVLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"131"	"UW_TS_LIMLAC1_1"	"AI_AcidSludgeSampleA_PacBio"	0
"132"	"UW_DM_LIMLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"133"	"UW_MP_ATO5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"134"	"UW_MP_BIF15_1"	"AI_AcidSludgeSampleB_PacBio"	0
"135"	"UW_TS_LAC2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"136"	"UW_TS_LACCAS1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"137"	"UW_TS_PED1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"138"	"UW_TS_PED2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"139"	"UW_MP_BIF3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"140"	"UW_TS_ACET3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"141"	"UW_TS_LAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"142"	"UW_TS_LAC3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"143"	"UW_MP_BIF2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"144"	"UW_MP_LEUC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"145"	"UW_DM_LIMLAC2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"146"	"UW_MP_BIF10_1"	"AI_AcidSludgeSampleB_PacBio"	0
"147"	"UW_MP_LIQLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"148"	"UW_TS_ATO2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"149"	"UW_TS_ATO3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"150"	"UW_TS_COMLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"151"	"UW_TS_FURLAC1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"152"	"MS_EUB1_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"153"	"UW_DM_MEG1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"154"	"UW_MP_ACID1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"155"	"UW_MP_BACTE1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"156"	"UW_MP_CLOS1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"157"	"UW_MP_CLOS2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"158"	"UW_MP_MEG5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"159"	"UW_MP_ACID2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"160"	"UW_MP_ANA1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"161"	"UW_TS_EUB1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"162"	"UW_TS_EUB2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"163"	"UW_MP_LCO1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"164"	"UW_TS_LCO2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"165"	"UW_TS_LCO3_1"	"AI_AcidSludgeSampleB_PacBio"	0
"166"	"MS_LCO1_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"167"	"UW_MP_ACUT1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"168"	"UW_MP_SPH1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"169"	"UW_DM_BACIL1_1"	"AI_AcidSludgeSampleB_PacBio"	2.666916
"170"	"UW_DM_BURK1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"171"	"UW_MP_ATO4_1"	"AI_AcidSludgeSampleB_PacBio"	0
"172"	"UW_MP_BACIL2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"173"	"UW_TS_ACET1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"174"	"UW_TS_LCO1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"175"	"UW_MP_BACIL1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"176"	"UW_MP_PREV1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"177"	"UW_MP_SPH2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"178"	"UW_TS_ACET2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"179"	"UW_MP_ATO2_1"	"AI_AcidSludgeSampleB_PacBio"	0
"180"	"UW_DM_BACTE1_1"	"AI_AcidSludgeSampleB_PacBio"	1.7346607
"181"	"UW_DM_DIAL1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"182"	"UW_MP_BACIL7_1"	"AI_AcidSludgeSampleB_PacBio"	0
"183"	"UW_MP_BACTE7_1"	"AI_AcidSludgeSampleB_PacBio"	0
"184"	"UW_MP_PREV6_1"	"AI_AcidSludgeSampleB_PacBio"	0
"185"	"UW_MP_PREV7_1"	"AI_AcidSludgeSampleB_PacBio"	0
"186"	"UW_MP_SELEN1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"187"	"UW_TS_BUL1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"188"	"UW_TS_PREV1_1"	"AI_AcidSludgeSampleB_PacBio"	0
"189"	"MS_ACET1"	"AI_AcidSludgeSampleB_PacBio"	0
"190"	"MS_COR4"	"AI_AcidSludgeSampleB_PacBio"	0
"191"	"MS_COR5"	"AI_AcidSludgeSampleB_PacBio"	0
"192"	"MS_LAC1_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"193"	"MS_LAC2_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"194"	"MS_LAC3_2018_genome"	"AI_AcidSludgeSampleB_PacBio"	0
"195"	"MS_LAC5_1"	"AI_AcidSludgeSampleB_PacBio"	0
"196"	"MS_LCO2"	"AI_AcidSludgeSampleB_PacBio"	0
"197"	"UW_DM_ACET1_1"	"AI_AcidSludgeSampleB_PacBio"	0
