Rel_Abundance	variable	value			Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance					
29	UW_MP_ANA1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ANA1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
30	UW_TS_EUB1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_EUB1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
31	UW_TS_EUB2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_EUB2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
32	UW_MP_LCO1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_LCO1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
33	UW_TS_LCO2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
34	UW_TS_LCO3_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO3_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
35	MS_LCO1_2018_genome	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	MS_LCO1_2018_genome	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
36	UW_MP_ACUT1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ACUT1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
37	UW_MP_SPH1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SPH1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
38	UW_DM_BACIL1_1	AI_AcidSludgeSampleA_PacBio	4.62887685		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BACIL1_1	4.62887685		AI_Sludge	AcidSludgeSampleA	0	PacBio
39	UW_DM_BURK1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BURK1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
40	UW_MP_ATO4_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO4_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
41	UW_MP_BACIL2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
42	UW_TS_ACET1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
43	UW_TS_LCO1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_LCO1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
44	UW_MP_BACIL1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
45	UW_MP_PREV1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
46	UW_MP_SPH2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SPH2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
47	UW_TS_ACET2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_ACET2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
48	UW_MP_ATO2_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_ATO2_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
49	UW_DM_BACTE1_1	AI_AcidSludgeSampleA_PacBio	1.7741006		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_BACTE1_1	1.7741006		AI_Sludge	AcidSludgeSampleA	0	PacBio
50	UW_DM_DIAL1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_DM_DIAL1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
51	UW_MP_BACIL7_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACIL7_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
52	UW_MP_BACTE7_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_BACTE7_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
53	UW_MP_PREV6_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV6_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
54	UW_MP_PREV7_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_PREV7_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
55	UW_MP_SELEN1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_MP_SELEN1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
56	UW_TS_BUL1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_BUL1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
57	UW_TS_PREV1_1	AI_AcidSludgeSampleA_PacBio	0		AI	AI_Sludge	AcidSludgeSampleA	0	PacBio	UW_TS_PREV1_1	0		AI_Sludge	AcidSludgeSampleA	0	PacBio
58	UW_DM_LIMLAC1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LIMLAC1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
59	UW_MP_ATO5_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ATO5_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
60	UW_MP_BIF15_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF15_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
61	UW_TS_LAC2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
62	UW_TS_LACCAS1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LACCAS1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
63	UW_TS_PED1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PED1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
64	UW_TS_PED2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_PED2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
65	UW_MP_BIF3_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF3_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
66	UW_TS_ACET3_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ACET3_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
67	UW_TS_LAC1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
68	UW_TS_LAC3_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC3_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
69	UW_MP_BIF2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
70	UW_MP_LEUC1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LEUC1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
71	UW_DM_LIMLAC2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_LIMLAC2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
72	UW_MP_BIF10_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF10_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
73	UW_MP_LIQLAC1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LIQLAC1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
74	UW_TS_ATO2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ATO2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
75	UW_TS_ATO3_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ATO3_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
76	UW_TS_COMLAC1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_COMLAC1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
77	UW_TS_FURLAC1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_FURLAC1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
78	MS_EUB1_2018_genome	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_EUB1_2018_genome	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
79	UW_DM_MEG1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_DM_MEG1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
80	UW_MP_ACID1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACID1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
81	UW_MP_BACTE1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACTE1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
82	UW_MP_CLOS1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_CLOS1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
83	UW_MP_CLOS2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_CLOS2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
84	UW_MP_MEG5_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_MEG5_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
85	UW_MP_ACID2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACID2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
86	UW_MP_ANA1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ANA1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
87	UW_TS_EUB1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_EUB1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
88	UW_TS_EUB2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_EUB2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
89	UW_MP_LCO1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_LCO1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
90	UW_TS_LCO2_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LCO2_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
91	UW_TS_LCO3_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LCO3_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
92	MS_LCO1_2018_genome	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	MS_LCO1_2018_genome	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
93	UW_MP_ACUT1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ACUT1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
94	UW_MP_SPH1_1	AI_AcidSludgeSampleB_PacBio	0		AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_SPH1_1	0		AI_Sludge	AcidSludgeSampleB	0	PacBio
